country,ind,size,er,profitability,post,sales_growth,cc,gas,post_gas,Alternative,alt_post_gas,post_alt
PL,Manufacturing,6.1708254755638015,0.3663643145047547,0.05212283814025212,0,0.025840824511867762,-0.00405555199093751,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,6.202608389026633,0.3904978584556591,0.06299136095345279,0,0.24823070962889487,0.0025053230278678004,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,6.519333111382115,0.3386243854386943,0.08698973347136078,1,0.5223134571606296,0.009181517136403014,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,6.564911386405276,0.4084401668758955,0.1319438280293456,1,0.15283397269715998,0.0017179698168187047,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,6.76828399436192,0.4311591620315974,0.09128001489966868,1,-0.2523996980953368,1.408948797390973e-06,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,5.173082887716354,0.7279352593818359,0.08794160650126376,0,0.2844565631824012,-0.13698320996569774,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,5.168948726206755,0.734803391566608,0.2814374324247425,0,0.8074947603241852,-0.09435106370921126,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,5.27817588184617,0.6421851723363876,0.30466502050894845,0,0.10194037055653156,-0.010544585443578216,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,5.229760114450894,0.7885278557200077,0.15168033928074198,1,0.12385232019871278,-0.004688488459890212,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,5.101681852114599,0.7944040706521078,0.16163921654554528,1,-0.2569992244292723,0.007212928652515691,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,5.111523825320651,0.7418139739517728,0.17438811979050522,1,0.08226290597366061,0.006293442403437655,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Public & social services,5.558274890984963,0.3801946987951807,0.018941686746987953,0,1.1085878036998842,0.002176554634191938,0.5502458030797356,0.0,1,0.0,0
PL,Public & social services,5.527303814845505,0.44763684807030796,0.06282385222595589,0,0.09034650783380739,-0.001434216867469879,0.5502458030797356,0.0,1,0.0,0
PL,Public & social services,5.499530187760737,0.42021122182380194,0.01895517567064769,0,-0.296300187105878,0.001658282464756526,0.5502458030797356,0.0,1,0.0,0
PL,Public & social services,5.324934954452306,0.4498356824654933,0.0022834051461817473,1,-0.10500790807268975,-0.0014433082423940108,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Public & social services,5.073797869053896,0.41923269495556387,-0.1620290399299036,1,0.2652261723363777,0.00599332992526595,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Public & social services,4.813662936529101,0.3414703446932182,-0.1652838888798688,1,-0.5021610161942598,-0.012229315308549253,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Other,7.1719877971763095,0.08773055923883875,-0.33476859810615683,0,-0.018847462756675887,0.0010629669817262494,0.5502458030797356,0.0,1,0.0,0
PL,Other,6.944667560525434,-0.20520295835975644,-0.2929822802962986,0,-0.02983201917577574,-4.069313460751467e-05,0.5502458030797356,0.0,1,0.0,0
PL,Other,6.501028375144459,-0.20232012567848057,-0.10361565934643585,0,-0.5553633733686824,-0.0021511138182077516,0.5502458030797356,0.0,1,0.0,0
PL,Other,6.3260385546604,-0.2771201814870343,-0.16059741867613223,1,-0.505699074703408,0.0011819904900078999,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Other,6.0902301138173485,-1.0793118365294672,-0.6412780308160617,1,0.26280100057261707,0.009637920484919616,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Other,5.237749618114281,-7.196306960041647,-3.192460928784675,1,-0.9906492674725802,-0.014261997676225246,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,5.312841380564135,0.18844307777219285,0.06448163369898387,0,0.4796802000134504,0.004848731049065409,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,5.521316907493251,0.21868749099870383,0.062496999567937785,0,-0.20669022933498735,-0.008870228556222465,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,5.10870529844262,0.38767406440382945,0.079144908616188,0,-0.24793076487557633,0.009785409098910241,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,5.005461935322258,0.44600806829908995,0.10627504590352888,1,-0.17004839576985126,-0.009881781259065853,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,5.1992646923397565,0.3973357476854791,0.05890503977608356,1,0.13259400038874383,0.11978475600766622,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,5.15730088757081,0.43780765134287114,0.04219465154437376,1,0.13183009963293127,-0.076184587526706,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Trade,7.186940353979963,0.6019158096655806,0.0975506258452769,0,0.04444787819177553,-0.0059640973151720315,0.5502458030797356,0.0,1,0.0,0
PL,Trade,7.26698166522194,0.6045708029696535,0.06997872535034746,0,-0.17622842381083798,0.011933721215201821,0.5502458030797356,0.0,1,0.0,0
PL,Trade,7.208121318733633,0.5917112044035893,0.09299420225674324,0,0.24388955084701847,0.011391398394521518,0.5502458030797356,0.0,1,0.0,0
PL,Trade,7.266042821983798,0.5734832553741517,0.07510988016440268,1,0.1491773146528507,0.0009197594999233513,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Trade,7.3417449977821425,0.491076536717889,0.0780424814517012,1,0.22948367923844498,0.001190179169837796,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Trade,7.121235490257376,0.6294759442607669,0.13801122636167495,1,0.13764588667854916,0.1378745538268359,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Other,7.567235535511596,0.47701685863024207,0.08546959928885653,0,0.03267822046304908,-0.019019182206894737,0.5502458030797356,0.0,1,0.0,0
PL,Other,7.6924327773876735,0.4875211023406488,0.09024957795318704,0,0.015014017758031873,-0.014827382746910596,0.5502458030797356,0.0,1,0.0,0
PL,Other,7.857712868326776,0.4420250618811882,0.056389232673267335,0,0.11900804901098194,0.026417849158187713,0.5502458030797356,0.0,1,0.0,0
