fic,costat,datafmt,indfmt,consol,gvkey,datadate,sic,at,capx,ebit,revt,teq
CZE,A,HIST_STD,INDL,C,331079,2023-12-31,3721,392.9720,20.1940,280.3910,597.5340,342.9920
CZE,A,HIST_STD,INDL,C,331079,2024-12-31,3721,498.4600,107.4620,138.0770,444.3870,465.0620
CZE,I,HIST_STD,FS,C,331080,2018-12-31,6552,472.7930,,-0.5270,,471.7250
CZE,I,HIST_STD,FS,C,331080,2019-12-31,6552,473.4690,,1.7530,4.5780,473.2070
CZE,I,HIST_STD,FS,C,331080,2020-12-31,6552,0.4860,,0.0130,0.0130,0.4840
CZE,A,HIST_STD,INDL,C,338605,2018-12-31,3480,7485.7540,396.6660,716.7300,5922.1750,3309.3750
CZE,A,HIST_STD,INDL,C,338605,2019-12-31,3480,7548.5750,274.3560,946.8900,6063.7160,3468.9610
CZE,A,HIST_STD,INDL,C,338605,2020-12-31,3480,8787.5510,330.6570,1052.9430,6943.1840,4522.6860
CZE,A,HIST_STD,INDL,C,338605,2021-12-31,3480,17013.0730,633.2560,1008.1530,10828.5380,5241.8280
CZE,A,HIST_STD,INDL,C,338605,2022-12-31,3480,19503.5140,679.7250,2245.5510,14741.5550,7681.3710
CZE,A,HIST_STD,INDL,C,338605,2023-12-31,3480,25976.7560,924.1560,1929.5860,15028.5570,9274.8460
CZE,A,HIST_STD,INDL,C,338605,2024-12-31,3480,46032.1980,920.5650,2007.1730,22714.5380,20028.4290
CZE,A,HIST_STD,INDL,C,339732,2018-12-31,7371,85.3070,,15.3490,150.0000,-3.2590
CZE,A,HIST_STD,INDL,C,339732,2019-12-31,7371,83.5050,,13.4350,167.6600,3.0350
CZE,A,HIST_STD,INDL,C,339732,2020-12-31,7371,107.8050,,13.3160,163.7890,51.7920
CZE,A,HIST_STD,INDL,C,339732,2021-12-31,7371,136.9380,,22.7310,209.4060,57.0970
CZE,A,HIST_STD,INDL,C,339732,2022-12-31,7371,184.7080,22.2890,18.6370,227.9200,59.8000
CZE,A,HIST_STD,INDL,C,339732,2023-12-31,7371,166.8260,22.2620,29.7120,214.2220,70.1500
CZE,A,HIST_STD,INDL,C,339732,2024-12-31,7371,205.7960,14.8680,11.9000,210.8310,71.1260
CZE,A,HIST_STD,INDL,C,340366,2021-12-31,5912,589.1360,82.1320,-13.9860,2380.2970,204.1010
CZE,A,HIST_STD,INDL,C,340366,2022-12-31,5912,605.9630,76.7700,-47.6740,2447.2980,138.9330
CZE,A,HIST_STD,INDL,C,340366,2023-12-31,5912,439.7000,35.6300,-148.5740,2131.8490,30.7070
CZE,A,HIST_STD,INDL,C,340366,2024-12-31,5912,237.3350,20.0580,-109.9230,1304.2430,-96.7480
CZE,A,HIST_STD,FS,C,346358,2019-12-31,6211,1409.1500,,99.1290,28.3850,816.5040
CZE,A,HIST_STD,FS,C,346358,2020-12-31,6211,1967.3560,,153.2090,18.7150,1222.5270
CZE,A,HIST_STD,FS,C,346358,2021-12-31,6211,2156.1370,,204.8090,83.8820,1215.7270
