fic,costat,datafmt,indfmt,consol,gvkey,datadate,sic,at,capx,ebit,revt,teq
ROU,A,HIST_STD,FS,C,258791,2022-12-31,6726,2668.2570,,219.8810,602.2140,2305.0660
ROU,A,HIST_STD,FS,C,258791,2023-12-31,6726,3579.9380,,14.8130,413.3440,3173.8720
ROU,A,HIST_STD,FS,C,258791,2024-12-31,6726,4195.7510,,158.8530,576.7530,3762.5600
ROU,A,HIST_STD,FS,C,258793,2018-12-31,6726,1973.4550,,50.6500,115.3740,1747.7600
ROU,A,HIST_STD,FS,C,258793,2019-12-31,6726,2447.8950,,172.9850,303.5490,2214.7900
ROU,A,HIST_STD,FS,C,258793,2020-12-31,6726,2172.4100,,12.5090,150.3030,2010.8870
ROU,A,HIST_STD,FS,C,258793,2021-12-31,6726,2584.3160,,52.1180,146.2130,2382.0590
ROU,A,HIST_STD,FS,C,258793,2022-12-31,6726,2417.0210,,98.9000,202.9910,2227.0490
ROU,A,HIST_STD,FS,C,258793,2023-12-31,6726,3028.3710,,133.7250,236.2710,2687.8250
ROU,A,HIST_STD,FS,C,258793,2024-12-31,6726,3475.5080,,135.2390,235.6280,3021.3500
ROU,A,HIST_STD,FS,C,271559,2018-12-31,6020,3543.7500,,36.8340,205.7650,305.8640
ROU,A,HIST_STD,FS,C,271559,2019-12-31,6020,3271.1940,,53.0100,219.3220,319.6060
ROU,A,HIST_STD,FS,C,271559,2020-12-31,6020,3513.8230,,56.0250,215.3330,329.6320
ROU,A,HIST_STD,FS,C,271559,2021-12-31,6020,4004.3770,,69.1090,236.5900,322.8010
ROU,A,HIST_STD,FS,C,271559,2022-12-31,6020,4370.2280,,121.2890,307.1930,330.4300
ROU,A,HIST_STD,FS,C,271559,2023-12-31,6020,4174.9290,,204.6440,389.2730,386.5870
ROU,A,HIST_STD,FS,C,271559,2024-12-31,6020,4619.9530,,207.5590,401.8500,422.1630
ROU,A,HIST_STD,INDL,C,271564,2018-12-31,2911,2082.7520,83.0390,26.6870,3980.5430,675.3650
ROU,A,HIST_STD,INDL,C,271564,2019-12-31,2911,2114.9270,83.5260,22.9960,3844.1140,619.5270
ROU,A,HIST_STD,INDL,C,271564,2020-12-31,2911,2199.4680,119.4910,-120.0200,2334.2230,421.2970
ROU,A,HIST_STD,INDL,C,271564,2021-12-31,2911,2560.5350,49.4200,-47.0860,3348.2560,462.5800
ROU,A,HIST_STD,INDL,C,271564,2022-12-31,2911,2392.8270,69.4770,272.7160,5361.3280,536.7850
ROU,A,HIST_STD,INDL,C,271564,2023-12-31,2911,2475.2180,59.2580,66.4650,4210.7680,286.3380
ROU,A,HIST_STD,INDL,C,271564,2024-12-31,2911,2339.5250,151.1920,24.3260,3724.8250,216.9290
